name,line
Kanye,"Single mothers know they got my heart
"
Kanye,"And all my brothers locked up on the yard
"
Kanye,"You can still be anything you wanna be
"
Kanye,"Went from one in four to one in three
"
Kanye,"Thirteenth amendment, gotta end it, that's on me
"
Kanye,"He the new commander and the chief
"
Kanye,"That's on Keef, that's on God
"
Kanye,"Before the ranch, I had horses in the garage
"
Kanye,"When the Forbes cover was just a mirage
"
Kanye,"They had me chasin' statues, that's on pride
"
Kanye,"""Oh my God,"" Bust said that's on Tribe
"
Kanye,"When I thought the Book of Job was a job
"
Kanye,"The Devil had my soul, I can't lie
"
Kanye,"Life gon' have some lows and some highs
"
Kanye,"Before the Grammy's ever gave a nod
"
Kanye,"I wore my heart on my sleeve, I couldn't hide
"
Kanye,"In '03, they told me not to drive
"
Kanye,"I bleached my hair for every time I could've died
"
Kanye,"But I survived, that's on God
"
Kanye,"I've been tellin' y'all since '05
"
Kanye,"The greatest artist restin' or alive
"
Kanye,"That's on L.A. Reid, that's on Clive
"
Kanye,"That's no Jive, that's on God
"
Kanye,"Off the 350s He supplied
"
Kanye,"The IRS want they fifty plus our tithe
"
Kanye,"Man, that's over half of the pie
"
Kanye,"I felt dry, that's on God
"
Kanye,"That's why I charge the prices that I charge
"
Kanye,"I can't be out here dancin' with the stars
"
Kanye,"No, I cannot let my family starve
"
Kanye,"I go hard, that's on God
"
Kanye,"Okay, okay, okay, okay
"
Kanye,"We began after the storm inside
"
Kanye,"Woo, woo, oh yeah
"
Kanye,"Woo-ooh, ooh-ooh
"
Kanye,"Switch your⁠, switch your attitude
"
Kanye,"Go 'head, level up yourself
"
Kanye,"This that different latitude
"
Kanye,"Ooh-ooh, ooh-ooh
"
Kanye,"Life too short, go spoil yourself
"
Kanye,"Feel that feel, enjoy yourself 'cause
"
Kanye,"We have everything we need
"
Kanye,"Switch my, switch my attitude
"
Kanye,"I'm so, I'm so radical
"
Kanye,"All these people mad at dude
"
Kanye,"This for who it matter to
"
Kanye,"What if Eve made apple juice?
"
Kanye,"You gon' do what Adam do?
"
Kanye,"Or say, ""Baby, let's put this back on the tree"" 'cause
"
Kanye,"Well, right
"
Kanye,"So, so well
"
Kanye,"So, so
"
Kanye,"High as the sun come out
"
Kanye,"Plannin'
"
Kanye,"Bootin'
"
Kanye,"Movin'
"
Kanye,"Tubin', there
"
Kanye,"Well, well
"
Kanye,"Clean us like the rain in spring
"
Kanye,"Take the chlorine out our conversation
"
Kanye,"Let Your light reflect on me
"
Kanye,"I promise I'm not hiding anything
"
Kanye,"It's water
"
Kanye,"We are water
"
Kanye,"Pure as water
"
Kanye,"Like a newborn daughter
"
Kanye,"The storm may come
"
Kanye,"But we'll get through it because of Your love
"
Kanye,"Either way, we crash like water
"
Kanye,"Your love's water
"
Kanye,"Jesus, flow through us
"
Kanye,"Jesus, heal the bruises
"
Kanye,"Jesus, clean the music
"
Kanye,"Jesus, please use us
"
Kanye,"Jesus, please help
"
Kanye,"Jesus, please heal
"
Kanye,"Jesus, please forgive
"
Kanye,"Jesus, please reveal
"
Kanye,"Jesus, give us strength
"
Kanye,"Jesus, make us well
"
Kanye,"Jesus, help us live
"
Kanye,"Jesus, give us wealth
"
Kanye,"Jesus is our safe
"
Kanye,"Jesus is our rock
"
Kanye,"Jesus, give us grace
"
Kanye,"Jesus, keep us safe
"
Kanye,"God is
"
Kanye,"My light in darkness, oh
"
Kanye,"God, God is
"
Kanye,"Everything that hath breath praise the Lord
"
Kanye,"Worship Christ with the best of your portions
"
Kanye,"I know I won't forget all He's done
"
Kanye,"He's the strength in this race that I run
"
Kanye,"Every time I look up, I see God's faithfulness
"
Kanye,"And it shows just how much He is miraculous
"
Kanye,"I can't keep it to myself, I can't sit here and be still
"
Kanye,"Everybody, I will tell 'til the whole world is healed
"
Kanye,"King of Kings, Lord of Lords, all the things He has in store
"
Kanye,"From the rich to the poor, all are welcome through the door
"
Kanye,"You won't ever be the same when you call on Jesus' name
"
Kanye,"Listen to the words I'm sayin', Jesus saved me, now I'm sane
"
Kanye,"And I know, I know God is the force that picked me up
"
Kanye,"I know Christ is the fountain that filled my cup
"
Kanye,"I know God is alive, yeah
"
Kanye,"He has opened up my vision
"
Kanye,"Giving me a revelation
"
Kanye,"This ain't 'bout a dead religion
"
Kanye,"Jesus brought a revolution
"
Kanye,"All the captives are forgiven
"
Kanye,"Time to break down all the prisons
"
Kanye,"Every man, every woman
"
Kanye,"There is freedom from addiction
"
Kanye,"Jesus, You have my soul
"
Kanye,"Sunday Service on a roll
"
Kanye,"All my idols, let 'em go
"
Kanye,"All the demons, let 'em know
"
Kanye,"This a mission, not a show
"
Kanye,"This is my eternal soul
"
Kanye,"This my kids, this the crib
"
Kanye,"This my wife, this my life
"
Kanye,"This my God-given right
"
Kanye,"Thank You, Jesus, won the fight
"
Kanye,"That's what God is
"
Kanye,"Hand 'em
"
Kanye,"Hands up high, hands on, hands on
"
Kanye,"Hands on, hands up
"
Kanye,"In your face, the reason
"
Kanye,"Hands on, yeah, hands on
"
Kanye,"Cut out all the lights, He the light
"
Kanye,"Got pulled over, see the brights
"
Kanye,"What you doin' on the street at night?
"
Kanye,"Wonder if they're gonna read your rights
"
Kanye,"Thirteenth Amendment, three strikes
"
Kanye,"Made a left when I should've made a right
"
Kanye,"Told God last time on life
"
Kanye,"Told the devil that I'm going on a strike
"
Kanye,"Told the devil when I see him, on sight
"
Kanye,"I've been working for you my whole life
"
Kanye,"Nothing worse than a hypocrite
"
Kanye,"Change, he ain't really different
"
Kanye,"He ain't even try to get permission
"
Kanye,"Ask for advice and they dissed him
"
Kanye,"Said I'm finna do a gospel album
"
Kanye,"What have you been hearin' from the Christians?
"
Kanye,"They'll be the first one to judge me
"
Kanye,"Make it feel like nobody love me
"
Kanye,"Feelin' like nobody love me
"
Kanye,"Told people God was my mission
"
Kanye,"Make you feel alone in the dark and you'll never see the light
"
Kanye,"Man, you're never seein' home and you never see the domes
"
Kanye,"I can feel it when I write, point of livin' in the right
"
Kanye,"If they only see the wrongs, never listen to the songs
"
Kanye,"Just to listen is a fight, but you booked me for the fight
"
Kanye,"It's so hard to get along if they only see the slight
"
Kanye,"From the love of religion
"
Kanye,"Make it seem like nobody love me
"
Kanye,"I'm not tryna lead you to Visas
"
Kanye,"But if I try to lead you to Jesus
"
Kanye,"We get called halfway believers
"
Kanye,"Only halfway read Ephesians
"
Kanye,"Only if they knew what I knew, uh
"
Kanye,"I was never new 'til I knew of
"
Kanye,"True and living God, Yeshua
"
Kanye,"The true and living God
"
Kanye,"I deserve all the criticism you got
"
Kanye,"If that's all the love you have, that's all you got
"
Kanye,"To sing of change, you think I'm joking
"
Kanye,"To praise His name, you ask what I'm smoking
"
Kanye,"Yes, I understand your reluctancy, yeah
"
Kanye,"But I have a request, you see
"
Kanye,"Don't throw me up, lay your hands on me
"
Kanye,"Please, pray for me
"
Kanye,"Hold myself on death
"
Kanye,"Hold it down, all fallen down
"
Kanye,"Somebody pray for me
"
Kanye,"Oh, oh, oh, oh, oh, oh
"
Kanye,"Oh, oh, oh, oh-oh, oh, oh
"
Kanye,"Use this gospel for protection
"
Kanye,"It's a hard road to Heaven
"
Kanye,"We call on Your blessings
"
Kanye,"In the Father, we put our faith
"
Kanye,"King of the kingdom
"
Kanye,"Our demons are tremblin'
"
Kanye,"Holy angels defendin'
"
Kanye,"How could He not be the greatest?
"
Kanye,"In my bed, under covers when undercovers had raided
"
Kanye,"My presence is happy belated
"
Kanye,"Fashionably late, I'm just glad that you made it
"
Kanye,"The best is yet to come, I'm just glad that you waited
"
Kanye,"They all say they real 'til it's time to appraise it
"
Kanye,"I seen them come and go, you only the latest
"
Kanye,"But who am I to judge? I'm crooked as Vegas
"
Kanye,"A lot of damaged souls, I done damaged those
"
Kanye,"And in my arrogance, took a camera pose
"
Kanye,"Caught with a trunk of Barry Manilows
"
Kanye,"They sing a different tune when the slammer close
"
Kanye,"From the concrete grew a rose
"
Kanye,"They give you Wraith talk, I give you faith talk
"
Kanye,"Blindfolded on this road, watch me faith walk
"
Kanye,"Just hold on to your brother when his faith lost
"
Kanye,"Every knee shall bow
"
Kanye,"Every tongue confess
"
Kanye,"Jesus is Lord
"
Kanye,"I know, I know, I know, I know, know
"
Kanye,"I, I know it, I know it
"
Kanye,"The most beautiful thoughts are always besides the darkest
"
Kanye,"Today, I seriously thought about killing you
"
Kanye,"I contemplated, premeditated murder
"
Kanye,"And I think about killing myself
"
Kanye,"And I love myself way more than I love you, so…
"
Kanye,"Today, I thought about killing you, premeditated murder
"
Kanye,"You'd only care enough to kill somebody you love
"
Kanye,"The most beautiful thoughts are always inside the darkest
"
Kanye,"Just say it out loud to see how it feels
"
Kanye,"People say ""don't say this, don't say that""
"
Kanye,"Just say it out loud, just to see how it feels
"
Kanye,"Weigh all the options, nothing's off the table
"
Kanye,"I think about killing myself
"
Kanye,"And I, I love myself way more than I love you
"
Kanye,"I think this is the part where I'm supposed to say somethin' good to compensate it so it doesn't come off bad
"
Kanye,"But sometimes I think really bad things
"
Kanye,"Really, really, really bad things
"
Kanye,"And I love myself way more than I love you
"
Kanye,"See, if I was tryin' to relate it to more people
"
Kanye,"I'd probably say I'm struggling with loving myself
"
Kanye,"Because that seems like a common theme
"
Kanye,"But that's not the case here
"
Kanye,"I love myself way more than I love you
"
Kanye,"So, best believe, I thought about killing you today
"
Kanye,"Premeditated murder
"
Kanye,"I called up my loved ones, I called up my cousins
"
Kanye,"I called up the Muslims, said I'm 'bout to go dumb
"
Kanye,"Get so bright, it's no sun, get so loud, I hear none
"
Kanye,"Screamed so loud, got no lungs, hurt so bad, I go numb
"
Kanye,"Time to bring in the drums, that prra-pa-pa-pum
"
Kanye,"Set the NewTone on 'em, set the nuke off on 'em
"
Kanye,"I need Coke with no rum, I taste coke on her tongue
"
Kanye,"I don't joke with no one, they'll say ""He died so young""
"
Kanye,"I done had a bad case of too many bad days
"
Kanye,"Got too many bad traits, used the floor for ashtrays
"
Kanye,"I don't do shit halfway, I'ma clear the cache
"
Kanye,"I'ma make my name last, put that on my last name
"
Kanye,"It's a different type of rules that we obey
"
Kanye,"Niggas say they hero, mm, I don't see no cape
"
Kanye,"Mm, I don't see no, mm, yeah, I don't see no, mm, mm
"
Kanye,"If I wasn't shinin' so hard, wouldn't be no shade
"
Kanye,"Sorry, but I chose not to be no slave
"
Kanye,"I thought I was past my Deebo ways
"
Kanye,"Even when I went broke, I ain't break
"
Kanye,"How you gon' hate? Nigga, we go way back
"
Kanye,"To when I had the braids and you had the wave cap
"
Kanye,"Drop a pin for the fade and I'm on my way ASAP
"
Kanye,"Don't get socked in the mouth, you know homie don't play that
"
Kanye,"Pay the fire marshal bill 'cause this shit done got way packed
"
Kanye,"All you gotta do is speak on Ye
"
Kanye,"Don't get your tooth chipped like Frito-Lay
"
Kanye,"Shit could get menacin', frightenin', find help
"
Kanye,"Sometimes I scare myself, myself
"
Kanye,"Sometimes I scare, myself, myself
"
Kanye,"Tweakin', tweakin' off that 2C-B, huh
"
Kanye,"Is he gon' make it? TBD, huh
"
Kanye,"Thought I was gon' run, DMC, huh
"
Kanye,"I done died and lived again on DMT, huh
"
Kanye,"See, this a type of high that won't come down
"
Kanye,"This the type of high that get you gunned down
"
Kanye,"Yeezy, Yeezy trollin' OD, huh
"
Kanye,"Turn TMZ to Smack DVD, huh
"
Kanye,"Russell Simmons wanna pray for me too
"
Kanye,"I'ma pray for him 'cause he got MeToo'd
"
Kanye,"Thinkin' what if that happened to me too
"
Kanye,"Then I'm on E! News
"
Kanye,"Ayy, hospital band a hundred bands, fuck a watch
"
Kanye,"Hundred grand'll make your best friends turn to opps
"
Kanye,"I hear y'all bringin' my name up a lot
"
Kanye,"Guess I just turned the clout game up a notch
"
Kanye,"See, y'all really shocked, but I'm really not
"
Kanye,"You know how many girls I took to the titty shop?
"
Kanye,"If she get the ass with it, that's a 50 pop
"
Kanye,"I still bring the bad bitches in the city out
"
Kanye,"Uh, just a different type of leader
"
Kanye,"We could be in North Korea, I could smoke with Wiz Khalifa, uh
"
Kanye,"Told my wife I've never seen her
"
Kanye,"After I hit it, bye Felicia, that's the way that I'ma leave it up
"
Kanye,"See, this is why all the bitches fuck with Ye!
"
Kanye,"Fuck what they talk about!
"
Kanye,"They take me on meds, off meds, ask yourself
"
Kanye,"Ask your homegirl right now, ""Look, you had a shot at Ye?""
"
Kanye,"You'd drop everything!
"
Kanye,"This is why your bitches fuck with me, huh
"
Kanye,"Smash, she gon' end up on TV, huh
"
Kanye,"Last thing that you ever wanna see, huh
"
Kanye,"I can feel the spirits all around me
"
Kanye,"I think Prince and Mike was tryna warn me
"
Kanye,"They know I got demons all on me
"
Kanye,"Devil been tryna make an army
"
Kanye,"They been strategizin' to harm me
"
Kanye,"They don't know they dealin' with a zombie
"
Kanye,"Niggas been tryna test my Gandhi
"
Kanye,"Just because I'm dressed like Abercrombie
"
Kanye,"You see? You see?
"
Kanye,"That's what I'm talkin' 'bout!
"
Kanye,"That's why I fuck with Ye!
"
Kanye,"See, that's my third per-
"
Kanye,"I'm a superhero! I'm a superhero!
"
Kanye,"Agghhh!
"
Kanye,"Yeah, you supermodel thick
"
Kanye,"Damn, that ass bustin' out the bottom
"
Kanye,"I'ma lose my mind in it
"
Kanye,"Crazy, that medulla oblongata
"
Kanye,"Get to rubbin' on my lamp
"
Kanye,"Get the genie out the bottle
"
Kanye,"Fuck it up, fuck it up
"
Kanye,"Pussy good, go 'n back it up
"
Kanye,"Pipe her up, I'ma pipe her up
"
Kanye,"Make her mine, I done fell in love
"
Kanye,"Juicy thing, make that pussy sing
"
Kanye,"One more time, baby, do it big
"
Kanye,"Make it cry, come boohoo this shit
"
Kanye,"If I pull up with a Kerry Washington
"
Kanye,"That's gon' be an enormous scandal
"
Kanye,"I could have Naomi Campbell
"
Kanye,"And still might want me a Stormy Daniels
"
Kanye,"Sometimes you gotta bag the boss up
"
Kanye,"I call that takin' Corey Gambles
"
Kanye,"Find yourself up in the food court
"
Kanye,"You might have to enjoy a sample
"
Kanye,"All these thots on Christian Mingle
"
Kanye,"Almost what got Tristan single
"
Kanye,"If you don't ball like him or Kobe
"
Kanye,"Guarantee that bitch gonna leave you
"
Kanye,"Ayy, time is extremely valuable
"
Kanye,"And I prefer to waste it on girls that's basic
"
Kanye,"That's just some Ye shit
"
Kanye,"Right now, let's do what we want
"
Kanye,"Let's have a threesome: me, you, and a blunt
"
Kanye,"I love your titties 'cause they prove
"
Kanye,"I can focus on two things at once
"
Kanye,"Let me hit it raw like fuck the outcome
"
Kanye,"Ayy, none of us'd be here without cum
"
Kanye,"Ayy, if it ain't all about the income
"
Kanye,"Ayy, ayy, let me see you go ahead and spend some
"
Kanye,"Ayy, if you drivin' 'round in some Dri-Fit
"
Kanye,"Ayy, I'ma think that you the type to dry snitch
"
Kanye,"Hm, mhm, if I see you pull up with the three stripes
"
Kanye,"Ayy, ayy, I'ma fuck around and make you my bitch
"
Kanye,"I don't feel that she's mine enough
"
Kanye,"God, I feel I couldn't have you windin' up
"
Kanye,"Butterfly in my wrist
"
Kanye,"You make pretty women out of my skin
"
Kanye,"And I don't feel like
"
Kanye,"And I know you wouldn't leave
"
Kanye,"They say, ""Build your own""—I said, ""How, Sway?""
"
Kanye,"I said, ""Slavery a choice""—they said, ""How, Ye?""
"
Kanye,"Just imagine if they caught me on a wild day
"
Kanye,"Now I'm on fifty blogs gettin' fifty calls
"
Kanye,"My wife callin', screamin', say we 'bout to lose it all
"
Kanye,"Had to calm her down 'cause she couldn't breathe
"
Kanye,"Told her she could leave me now, but she wouldn't leave
"
Kanye,"And I sometimes wish
"
Kanye,"We doin' such things
"
Kanye,"We could wait longer than this
"
Kanye,"Yes, you know you're one of these
"
Kanye,"We can run through with the top chopped, yeah
"
Kanye,"And the sundress down, ooh
"
Kanye,"And I know you wouldn't...
"
Kanye,"Oh, don't bring that up, that's gon' get me sentimental
"
Kanye,"You know I'm sensitive, I got a gentle mental
"
Kanye,"Every time somethin' happen they want me sent to mental
"
Kanye,"We had an incident, but I cover incidentals
"
Kanye,"You want me workin' on my messagin'
"
Kanye,"When I'm thinkin' like George Jetson
"
Kanye,"But soundin' like George Jefferson
"
Kanye,"Then they questionin' my methods then
"
Kanye,"If you tweakin' out on my texts again
"
Kanye,"Then I don't get reception here
"
Kanye,"I got the mind state to take us past the stratosphere
"
Kanye,"I use the same attitude that done got us here
"
Kanye,"I live for now, I don't know what happen after here
"
Kanye,"Plus, what was meant to be was meant to be
"
Kanye,"Even if, publicly, I lack the empathy
"
Kanye,"I ain't finna talk about it, 'nother four centuries
"
Kanye,"One and one is two, but me and you, that's infinity
"
Kanye,"I don't feel like she's mine enough
"
Kanye,"She told you you's gon' fuck the money up
"
Kanye,"But you ain't wanna listen, did you?
"
Kanye,"Keep that same energy
"
Kanye,"Now you testin' her loyalty
"
Kanye,"This what they mean when they say
"
Kanye,"""For better or for worse"", huh?
"
Kanye,"For every down female that stuck with they dude
"
Kanye,"Through the best times, through the worst times
"
Kanye,"This for you
"
Kanye,"Believe it or not
"
Kanye,"Make no mistake, girl, still love you
"
Kanye,"Oh, I got dirt on my name, I got white on my beard
"
Kanye,"I had debt on my books, it's been a shaky-ass year
"
Kanye,"Let me make this clear, so all y'all see
"
Kanye,"I don't take advice from people less successful than me
"
Kanye,"Hah? Ain't no love lost, but the gloves off
"
Kanye,"And we up in this bitch until they turn the club off
"
Kanye,"Had to tell the dogs, ""Turn the snubs off!""
"
Kanye,"Plus they already mad that the Cubs lost
"
Kanye,"Too close to snipe you, truth told, I like you
"
Kanye,"Too bold to type you, too rich to fight you
"
Kanye,"Calm down, you light skin!
"
Kanye,"Some day, some day
"
Kanye,"Some day I'll, I wanna wear a starry crown
"
Kanye,"Some day, some day, some day
"
Kanye,"I wanna lay down, like God did, on Sunday
"
Kanye,"Hold up, hold up
"
Kanye,"Some day, some days, I remembered this on a Sunday
"
Kanye,"Back way, yeah, way, way, burning, mhm-mhm
"
Kanye,"Uh, some days, not gonna please everybody
"
Kanye,"Some days I wanna hit the red dot on everybody
"
Kanye,"Now that I'm livin' high, I'm smokin' marijuana
"
Kanye,"Now that I'm livin' high, I do what I wanna, oh, yeah
"
Kanye,"I've been tryin' to make you love me
"
Kanye,"But everything I try just takes you further from me
"
Kanye,"Some day we gon' set it off
"
Kanye,"Some day we gon' get this off
"
Kanye,"Baby, don't you bet it all
"
Kanye,"On a pack of Fentanyl
"
Kanye,"You might think they wrote you off
"
Kanye,"They gon' have to rope me off
"
Kanye,"Someday the drama'll be gone
"
Kanye,"And they'll play this song on and on
"
Kanye,"Sometimes I take all the shine
"
Kanye,"Talk like I drank all the wine
"
Kanye,"Years ahead but way behind
"
Kanye,"I'm on one, two, three, four, five
"
Kanye,"No half-truths, just naked minds
"
Kanye,"Caught between space and time
"
Kanye,"This not what we had in mind
"
Kanye,"But maybe some day
"
Kanye,"Woah, once again I am a child
"
Kanye,"I let it all go, of everything that I know, yeah
"
Kanye,"Of everything that I know, yeah
"
Kanye,"And nothing hurts anymore, I feel kinda free
"
Kanye,"We're still the kids we used to be, yeah, yeah
"
Kanye,"I put my hand on a stove, to see if I still bleed, yeah
"
Kanye,"Fallin', dreamin', talkin' in your sleep
"
Kanye,"I know you want to cry all night, all night
"
Kanye,"Plottin', schemin', findin'
"
Kanye,"Reason to defend all of your violent nights
"
Kanye,"Promise me you will see
"
Kanye,"Don't you grow up in a hurry, your mom'll be worried, aw
"
Kanye,"It was all part of the story, even the scary nights
"
Kanye,"Thank you for all of the glory, you will be remembered, aw
"
Kanye,"They gotta repaint the colors, the lie is wearin' off
"
Kanye,"Reality is upon us, colors drippin' off
"
Kanye,"Colors drippin' off
"
Kanye,"Father, forgive me, I'm scared of the karma
"
Kanye,"'Cause now I see women as somethin' to nurture
"
Kanye,"Not somethin' to conquer
"
Kanye,"I hope she like Nicki, I make her a monster
"
Kanye,"Not havin' ménages, I'm just bein' silly
"
Kanye,"I answered the door like Will Smith and Martin
"
Kanye,"Nigga, do we have a problem?
"
Kanye,"Matter fact, Marlon, this ain't Meet the Fockers
"
Kanye,"I'll beat his ass, pray I beat the charges
"
Kanye,"No, Daddy don't play, not when it come to they daughters
"
Kanye,"Don't do no yoga, don't do pilates
"
Kanye,"Just play piano and stick to karate
"
Kanye,"I pray your body's draped more like mine
"
Kanye,"And not like your mommy's
"
Kanye,"I pray that you don't get it all at once
"
Kanye,"Curves under your dress, I know it's pervs all on the net
"
Kanye,"All in the comments, you wanna vomit
"
Kanye,"That's your baby, you love her to death
"
Kanye,"Now she cuttin' class and hangin' with friends
"
Kanye,"You break a glass and say it again
"
Kanye,"She can't comprehend the danger she in
"
Kanye,"If you whoop her ass, she move in with him
"
Kanye,"Then he whoop her ass, you go through it again
"
Kanye,"But how you the devil rebukin' the sin?
"
Kanye,"Let's pray we can put this behind us
"
Kanye,"I swear that these times is the wildest
"
Kanye,"She got the scars, they serve as reminders
"
Kanye,"Blood still on her pajamas
"
Kanye,"But yesterday is dead, yeah, moment of silence
"
Kanye,"Next, she'll be off to college and then at the altar
"
Kanye,"I'm saying it like...
"
Kanye,"""I want a daughter like Nicki, aw, man, I promise
"
Kanye,"I'ma turn her to a monster, but no ménages""
"
Kanye,"I don't know how you saying it but, let 'em hear this
"
Kanye,"I'm tryna keep my faith
"
Kanye,"We on an ultralight beam
"
Kanye,"This is a God dream
"
Kanye,"This is everything
"
Kanye,"Deliver us serenity
"
Kanye,"Deliver us peace
"
Kanye,"Deliver us loving
"
Kanye,"We know we need it
"
Kanye,"You know we need it
"
Kanye,"That's why we need You now, oh
"
Kanye,"Pray for Paris
"
Kanye,"Pray for the parents
"
Kanye,"But I'm looking for more
"
Kanye,"Somewhere I can feel safe
"
Kanye,"And end my holy war
"
Kanye,"So why send oppression not blessings?
"
Kanye,"You persecute the weak
"
Kanye,"Don't have much strength to fight
"
Kanye,"To make these wrongs turn right
"
Kanye,"Head up high, I look to the light
"
Kanye,"Hey, 'cause I know that You'll make everything alright
"
Kanye,"And I know that You'll take good care of Your child
"
Kanye,"Oh, no longer am afraid of the night
"
Kanye,"'Cause I, I look to the light
"
Kanye,"When they come for You, I will shield Your name
"
Kanye,"I will field their questions, I will feel Your pain
"
Kanye,"No one can judge
"
Kanye,"They don't, they don't know
"
Kanye,"They don't know
"
Kanye,"Foot on the Devil's neck 'til it drifted Pangaea
"
Kanye,"I'm moving all my family from Chatham to Zambia
"
Kanye,"Treat the demons just like Pam
"
Kanye,"I mean I fuck with your friends, but damn, Gina
"
Kanye,"I been this way since Arthur was anteater
"
Kanye,"Now they wanna hit me with the woo wap, the bam
"
Kanye,"Tryna snap photos of familia
"
Kanye,"My daughter look just like Sia, you can't see her
"
Kanye,"You can feel the lyrics, the spirit coming in braille
"
